Wavelength (nm)	King Correction Factor	Depolarization Factor	gamma
200.0	1.08	0.04545	0.02326
205.0	1.077	0.04384	0.02241
210.0	1.074	0.04221	0.02156
215.0	1.072	0.04113	0.021
220.0	1.07	0.04004	0.02043
225.0	1.068	0.03895	0.01986
230.0	1.066	0.03785	0.0193
240.0	1.064	0.03675	0.01872
250.0	1.062	0.03565	0.01815
260.0	1.06	0.03455	0.01758
270.0	1.059	0.034	0.01729
280.0	1.057	0.03289	0.01672
290.0	1.056	0.03233	0.01643
300.0	1.055	0.03178	0.01614
310.0	1.055	0.03178	0.01614
320.0	1.054	0.03122	0.01586
330.0	1.053	0.03066	0.01557
340.0	1.053	0.03066	0.01557
350.0	1.052	0.0301	0.01528
360.0	1.052	0.0301	0.01528
370.0	1.052	0.0301	0.01528
380.0	1.051	0.02955	0.01499
390.0	1.051	0.02955	0.01499
400.0	1.051	0.02955	0.01499
450.0	1.05	0.02899	0.01471
500.0	1.049	0.02842	0.01442
550.0	1.049	0.02842	0.01442
600.0	1.048	0.02786	0.01413
650.0	1.048	0.02786	0.01413
700.0	1.048	0.02786	0.01413
750.0	1.048	0.02786	0.01413
800.0	1.047	0.0273	0.01384
850.0	1.047	0.0273	0.01384
900.0	1.047	0.0273	0.01384
950.0	1.047	0.0273	0.01384
1000.0	1.047	0.0273	0.01384
